domain,status_code,status_description
lebenshilfe-offenbach.de,200,OK
support.microsoft.com,200,OK
chip.de,200,OK
mitmischen.de,200,OK
europanetzwerk.hessen.de,200,OK
kreisbote.de,200,OK
axios.com,403,Forbidden
berlin.vvn-bda.de,200,OK
europapark.de,200,OK
europe-day.europa.eu,200,OK
interaktiv.tagesspiegel.de,200,OK
berliner-kurier.de,200,OK
frankfurt.de,200,OK
nau.ch,200,OK
consilium.europa.eu,403,Forbidden
magazin-forum.de,200,OK
manager-magazin.de,200,OK
evangelische-zeitung.de,200,OK
inforadio.de,200,OK
ardmediathek.de,200,OK
as.com,200,OK
diw.de,200,OK
maclife.de,200,OK
bmfsfj.de,200,OK
chroniknet.de,403,Forbidden
connect.de,200,OK
marktundmittelstand.de,200,OK
prosieben.de,200,OK
badische-zeitung.de,200,OK
vol.at,200,OK
bundesrat.de,400,Bad Request
rentenbescheid24.de,200,OK
time.com,200,OK
abendzeitung-muenchen.de,200,OK
bmwk.de,200,OK
rtl.de,,
bonn.de,200,OK
1komma5.com,200,OK
bi-medien.de,200,OK
der-betrieb.de,200,OK
tarife-verzeichnis.de,200,OK
moongiant.com,200,OK
apa.at,200,OK
bundespraesident.de,400,Bad Request
institutfrancais.de,200,OK
nachrichten.ag,,
verfassungsschutz.de,400,Bad Request
theweek.com,200,OK
lto.de,200,OK
macgadget.de,200,OK
kleiner-kalender.de,200,OK
nordbayern.de,200,OK
bmuv.de,200,OK
gew.de,200,OK
capital.de,200,OK
deutschetageszeitung.de,200,OK
hamburgeranzeiger.de,200,OK
timesles.com,200,OK
wa.de,200,OK
it-times.de,200,OK
esslinger-zeitung.de,200,OK
gmm-deutschland.de,200,OK
kaufsonntag.de,200,OK
tag24.de,200,OK
verbraucherservice-bayern.de,200,OK
derwesten.de,200,OK
haufe.de,400,Bad Request
l-iz.de,200,OK
los40.com,200,OK
muenchen.de,200,OK
berliner-tagesblatt.de,403,Forbidden
correctiv.org,200,OK
express.de,200,OK
oekotest.de,200,OK
presseportal.de,200,OK
swp.de,200,OK
trtdeutsch.com,200,OK
sonntagsblatt.de,200,OK
spd.de,200,OK
greenpeace.de,200,OK
puls24.at,200,OK
saechsische.de,200,OK
watson.ch,200,OK
iwkoeln.de,401,Unauthorized
anwalt.de,403,Forbidden
come-on.de,200,OK
lauterbacher-anzeiger.de,200,OK
ruhr24.de,200,OK
dstgb.de,200,OK
gegen-hartz.de,200,OK
gmx.net,200,OK
krankenkassen-direkt.de,200,OK
paritaet-bw.de,200,OK
finanzen.at,200,OK
stadtgui.de,200,OK
schifffahrtundtechnik.de,200,OK
ewahlen.eu,200,OK
schulministerium.nrw,200,OK
daskrankenhaus.de,200,OK
lbbw.de,400,Bad Request
nachrichten.fr,200,OK
orf.at,200,OK
rbb-online.de,200,OK
tichyseinblick.de,200,OK
bmi.bund.de,400,Bad Request
bundesfinanzministerium.de,200,OK
volksstimme.de,200,OK
vorwaerts.de,200,OK
wnoz.de,200,OK
bayern.de,200,OK
fh-kiel.de,200,OK
haustec.de,200,OK
interaktiv.morgenpost.de,200,OK
rescue.org,200,OK
cannstatter-zeitung.de,200,OK
caritas-dienstgeber.de,200,OK
deutschlandfunkkultur.de,200,OK
rundumdeutschland.de,200,OK
dasding.de,200,OK
dubisthalle.de,200,OK
gleisslutz.com,200,OK
utopia.de,200,OK
wochenanzeiger.de,200,OK
bundestagswahl-bw.de,200,OK
tages.guru,200,OK
aerztezeitung.de,405,Method Not Allowed
apfeltalk.de,200,OK
base.bund.de,400,Bad Request
bdk.de,200,OK
businessinsider.de,200,OK
gov.uk,200,OK
mz.de,200,OK
oxfam.de,200,OK
verbraucheranwalt-online.de,401,Unauthorized
hamburger-bachchor.de,200,OK
volksbund.de,200,OK
allgaeuer-zeitung.de,200,OK
blick.de,200,OK
bundesbank.de,200,OK
derstandard.at,200,OK
diefarbedesgeldes.de,200,OK
telepolis.de,200,OK
visitbritain.com,200,OK
auretas.de,200,OK
auswaertiges-amt.de,200,OK
de.headtopics.com,200,OK
szbz.de,200,OK
biallo.de,200,OK
kreiszeitung.de,200,OK
table.media,200,OK
bbag-ev.de,200,OK
heutetag.com,200,OK
kulturlotse.de,200,OK
amp.dw.com,200,OK
antenne.de,200,OK
berliner-zeitung.de,200,OK
frankenfernsehen.tv,200,OK
ga.de,200,OK
pnp.de,200,OK
podcasts.apple.com,200,OK
schwaebische-post.de,200,OK
vdi-nachrichten.com,200,OK
wochenblatt-reporter.de,200,OK
bfs.de,400,Bad Request
bluewin.ch,200,OK
es.wikipedia.org,200,OK
germany.representation.ec.europa.eu,200,OK
goerlitz.de,200,OK
koeln.de,200,OK
worldvoiceday.org,200,OK
24hamburg.de,200,OK
9-mai.eu,200,OK
bloomberg.com,403,Forbidden
business-standard.com,200,OK
filmportal.de,200,OK
frieden-sichern.dgvn.de,200,OK
it-recht-kanzlei.de,200,OK
japandigest.de,200,OK
m.focus.de,200,OK
nachdenkseiten.de,200,OK
netzwelt.de,200,OK
oe1.orf.at,200,OK
politico.eu,200,OK
region.landshut.de,200,OK
vaticannews.va,200,OK
heinsberg.de,200,OK
km.baden-wuerttemberg.de,200,OK
wahlumfrage.de,200,OK
aussiedlerbote.de,200,OK
comdirect.de,200,OK
de.investing.com,200,OK
epochtimes.de,200,OK
expo2025germany.de,200,OK
finanz.de,200,OK
fnp.de,200,OK
freiepresse.de,200,OK
gastronomie.de,200,OK
kettner-edelmetalle.de,200,OK
nachhaltigleben.ch,200,OK
nordstadtblogger.de,200,OK
politikexpress.de,200,OK
presse-nachrichten.de,200,OK
verbandsbuero.de,200,OK
wochenblatt-news.de,200,OK
48forward.com,200,OK
bccg.de,200,OK
berlinertageszeitung.de,200,OK
das-parlament.de,200,OK
deutschlandkurier.de,200,OK
europa-mv.de,200,OK
european-union.europa.eu,200,OK
hansestadt-lueneburg.de,200,OK
olaf-scholz.spd.de,200,OK
pfalz.de,200,OK
plauen.de,200,OK
renewz.de,200,OK
smd.org,200,OK
abendblatt.de,200,OK
autobild.de,200,OK
berliner-unterwelten.de,200,OK
berlinertageblatt.de,200,OK
bz-berlin.de,200,OK
ch.marketscreener.com,200,OK
computerbild.de,200,OK
cosmopolitanschool.de,200,OK
dmz-news.eu,200,OK
futurezone.de,200,OK
gruene.de,200,OK
insuedthueringen.de,200,OK
moz.de,200,OK
newsguardtech.com,,
nw.de,200,OK
pkf-wulf-gruppe.de,200,OK
regionalheute.de,200,OK
report-k.de,200,OK
uni-marburg.de,200,OK
verkaufsoffener-sonntag.com,200,OK
blog.de.erste-am.com,400,Bad Request
boerse-frankfurt.de,200,OK
dresden.de,200,OK
hanfalbers.de,200,OK
hochtaunuskreis.de,200,OK
newsdeutschland.com,200,OK
noz.de,200,OK
oebib.de,200,OK
ots.at,200,OK
rechtundpolitik.com,200,OK
thenationaltimes.au,200,OK
vergabeblog.de,200,OK
1000plus.net,200,OK
amnesty.de,200,OK
businesstraveller.de,200,OK
cannadoo.com,200,OK
chemanager-online.com,200,OK
dortmund-app.de,200,OK
fernsehserien.de,200,OK
finance-magazin.de,200,OK
forschung-und-lehre.de,,
handwerk.com,200,OK
jungewelt.de,200,OK
kicker.de,200,OK
lvz.de,200,OK
main-echo.de,200,OK
nd-aktuell.de,200,OK
netzpolitik.org,200,OK
rsw.beck.de,200,OK
ru.muenchen.de,200,OK
tagestexte.de,200,OK
techcrunch.com,200,OK
techzeitgeist.de,200,OK
bgland24.de,200,OK
dietrich-bonhoeffer.net,200,OK
timeanddate.de,200,OK
verkaufsoffene-sonntage.de,200,OK
verl.de,200,OK
ad-hoc-news.de,200,OK
bitkom.org,200,OK
bnw-bundesverband.de,200,OK
boerse.de,200,OK
cicero.de,200,OK
co2online.de,200,OK
deutsche-filmakademie.de,200,OK
die-nachrichten.at,200,OK
evz.de,200,OK
freitag.de,200,OK
gmv.com,200,OK
handelsblatt.com,200,OK
ifun.de,200,OK
ka-news.de,200,OK
lokalo.de,200,OK
magazin.comdirect.de,200,OK
mal-alt-werden.de,200,OK
marburg.de,200,OK
mercedes-fans.de,200,OK
nord24.de,200,OK
pcwelt.de,200,OK
polizei-beratung.de,200,OK
radiodresden.de,200,OK
rhein-zeitung.de,200,OK
ruhrnachrichten.de,200,OK
sat1.de,200,OK
soester-anzeiger.de,200,OK
sparkasse.de,200,OK
sportschau.de,200,OK
staedtetag.de,200,OK
tga-fachplaner.de,200,OK
travelandtourworld.de,200,OK
tz.de,200,OK
verbraucherzentrale.nrw,200,OK
wdr.de,200,OK
weser-kurier.de,200,OK
berliner-sonntagsblatt.de,200,OK
brandenburg.de,200,OK
bundesrechnungshof.de,400,Bad Request
chemnitz2025.de,200,OK
de.statista.com,403,Forbidden
derpatriot.de,200,OK
geboren.am,200,OK
hessenschau.de,200,OK
politik-lernen.at,200,OK
sis-verlag.de,200,OK
suedtirolnews.it,200,OK
verkehrsrundschau.de,200,OK
visitberlin.de,200,OK
wallpaper.com,200,OK
welcher-tag-ist-heute.org,200,OK
1730live.de,200,OK
arte.tv,200,OK
az-online.de,200,OK
baulohn.nrw,200,OK
bbc.com,200,OK
boersennews.de,200,OK
budrich-journals.de,200,OK
bvmed.de,200,OK
commission.europa.eu,200,OK
de.tradingview.com,200,OK
destatis.de,200,OK
diepresse.com,200,OK
domradio.de,200,OK
esmunich.de,200,OK
evhn.de,200,OK
fdp.de,200,OK
fokus-afrika.de,200,OK
gadmo.eu,200,OK
hallespektrum.de,200,OK
handwerksblatt.de,200,OK
infineon.com,,
kas.de,200,OK
krzbb.de,200,OK
lz.de,200,OK
noen.at,200,OK
nrz.de,200,OK
pfalz-express.de,200,OK
politikorange.de,,
regenbogen.de,200,OK
reisekultouren.de,200,OK
sortiraparis.com,200,OK
tk.de,200,OK
urlaubsgefuehl.de,200,OK
visaindex.com,200,OK
weltwoche.de,200,OK
women-at.work,200,OK
aha.li,200,OK
amp.focus.de,200,OK
aplusa.de,200,OK
ardaudiothek.de,200,OK
beispiel.de,200,OK
bielefeld.jetzt,200,OK
cm10.bmfsfj.de,,
csc-stuttgart.org,200,OK
dgap.org,200,OK
dhv-da.de,200,OK
dnn.de,200,OK
eiz-rostock.de,200,OK
evangelische-akademien.de,200,OK
feiertage-oesterreich.at,200,OK
fokus-sozialrecht.de,504,Gateway Timeout
frankfurter-abendblatt.de,200,OK
gedenkstaette-flossenbuerg.de,200,OK
germanynews.info,200,OK
infopress24.de,200,OK
karlsruhe.de,200,OK
lanxess-arena.de,200,OK
meetingpoint-memory-messiaen.eu,200,OK
msgiv.brandenburg.de,200,OK
nwzonline.de,200,OK
pfaffenhofen.de,200,OK
plus500.com,403,Forbidden
reservistenverband.de,200,OK
rheinruhraktuell.de,200,OK
sai-lab.de,200,OK
sd-metals.com,200,OK
sindelfingen.de,200,OK
uehlfeld-evangelisch.de,200,OK
wiwo.de,200,OK
wolfgang-stefinger.de,200,OK
achgut.com,200,OK
allianz-gegen-rechtsextremismus.de,200,OK
arbeitgeber-nordhessen.de,200,OK
baunetzwerk.biz,200,OK
bauprofessor.de,200,OK
bbh-fortbildung.de,200,OK
boeckler.de,200,OK
business-punk.com,200,OK
charivari.de,200,OK
customer.intertours.de,200,OK
dailymotion.com,200,OK
das-marburger.de,200,OK
dbwv.de,200,OK
deutscher-filmpreis.de,200,OK
duesseldorf.de,200,OK
einfach-elterngeld.de,200,OK
europedirect-aachen.de,200,OK
ffh.de,200,OK
freilich-magazin.com,200,OK
generalbundesanwalt.de,400,Bad Request
global-marijuana-march-dortmund.de,200,OK
haz.de,200,OK
jungefreiheit.de,200,OK
ksta.de,200,OK
kurier.at,200,OK
land.nrw,200,OK
leichtathletik.de,200,OK
live.vodafone.de,200,OK
marktspiegel.de,200,OK
maz-online.de,200,OK
mt.de,200,OK
muenchenerpost.de,200,OK
my.headtopics.com,200,OK
news.provinz.bz.it,200,OK
newsflash24.de,200,OK
noel.gv.at,,
om-online.de,200,OK
op-online.de,200,OK
pharma-food.de,200,OK
pharmaindustrie-online.de,200,OK
polizei.bayern.de,200,OK
regiotrends.de,200,OK
sporthilfe.de,200,OK
sr.de,200,OK
ulm.tv,200,OK
verbraucherzentrale-sachsen-anhalt.de,200,OK
wirtschaftsrat.de,200,OK
wissen-info.de,200,OK
wr.de,200,OK
28april.org,200,OK
arbeitgeberverband-fulda.de,200,OK
bitkom-research.de,200,OK
blaetter.de,200,OK
businessfrei.de,,
cassis.uni-bonn.de,200,OK
dayspedia.com,200,OK
deutsche-gesellschaft-ev.de,200,OK
gmm-frankfurt.de,200,OK
heute.at,200,OK
kapitalkompakt.de,,
max-reinhardt-sindelfingen.de,200,OK
otz.de,200,OK
presse.gdata.de,200,OK
rki.de,400,Bad Request
rlp-tourismus.com,200,OK
sonic-derfilm.de,200,OK
tornesch.de,200,OK
aatis.de,200,OK
aerotelegraph.com,200,OK
afaqs.com,200,OK
aktiencheck.de,200,OK
allianz-arena.com,,
alzey.de,200,OK
augsburg.de,200,OK
baden-wuerttemberg.de,200,OK
baublog.brz.eu,200,OK
berlin-live.de,200,OK
bigfm.de,200,OK
blackout-news.de,200,OK
blog.offerpad.com,200,OK
bmvg.de,200,OK
bmwk-energiewende.de,200,OK
bulletin.entnet.org,200,OK
byc-news.de,200,OK
cannabib.de,200,OK
cash.ch,200,OK
daddylicious.de,200,OK
dasinvestment.com,200,OK
datev-magazin.de,200,OK
deutscher-lehrerverband-hessen.de,200,OK
dgb.de,200,OK
dienstleistungsportal.uni-rostock.de,,
ekhn.de,200,OK
eta.me.uk,200,OK
eurotopics.net,200,OK
feiertag.info,200,OK
gameswirtschaft.de,200,OK
giga.de,200,OK
grenzecho.net,200,OK
grs.de,200,OK
helles-koepfchen.de,200,OK
hihk.de,,
home.cdu.de,200,OK
housedigest.com,200,OK
igbau.de,200,OK
kiohilfe.de,200,OK
klack.de,200,OK
kosovapress.com,403,Forbidden
lufthansa.com,404,Not Found
lv.sachsen-anhalt.de,200,OK
marburger-bund.de,200,OK
med.uc.edu,200,OK
mopo.de,200,OK
nachrichten-heute.net,200,OK
nationaltoday.com,200,OK
neues-deutschland.de,200,OK
nordkurier.de,200,OK
oeffentlicher-dienst-news.de,200,OK
omnibusrevue.de,200,OK
online-zeitung-deutschland.de,200,OK
onlinecasinosdeutschland.com,200,OK
open4business.com.ua,200,OK
plantinghope.at,200,OK
politikaufsohr.de,200,OK
radiogong.de,200,OK
regio-journal.info,200,OK
retail-news.de,200,OK
rundschau-online.de,200,OK
schwaebische.de,200,OK
schwarzwaelder-bote.de,200,OK
silicon-saxony.de,200,OK
singendesland.de,200,OK
snooker.co.at,200,OK
spdfraktion.de,200,OK
staatskanzlei.hessen.de,200,OK
stadt-regional.de,200,OK
swr3.de,200,OK
t3n.de,200,OK
trend.at,200,OK
tt.com,200,OK
uketa.com,200,OK
verbraucherzentrale-bayern.de,200,OK
viennaoffices.at,200,OK
westfalen-blatt.de,200,OK
wetterchen.de,200,OK
wir-hier.de,200,OK
wko.at,200,OK
wn.de,200,OK
wsws.org,200,OK
abschiebungsreporting.de,200,OK
amerika21.de,200,OK
antenne.nrw,200,OK
bak-ac.de,200,OK
bildung.sachsen.de,200,OK
bildungsspiegel.de,200,OK
blick-aktuell.de,200,OK
bmdv.bund.de,200,OK
btw2025.cemas.io,200,OK
bundestag.api.proxy.bund.dev,,
diakonie.de,200,OK
eiz-niedersachsen.de,200,OK
eu-info.de,200,OK
ev-gemeinde-tiergarten.de,200,OK
evg-online.org,200,OK
fachportal.lernnetz.de,200,OK
familienportal.de,200,OK
fluechtlingsrat-bw.de,200,OK
fr.wikipedia.org,200,OK
gemeinschaftsschule-orscholz.de,200,OK
gfbv.de,200,OK
gmr.lbg.ac.at,200,OK
hallo-muenchen.de,200,OK
hamburg-tourism.de,200,OK
happyhappybirthday.net,200,OK
harzkurier.de,200,OK
hlbs.de,200,OK
home.1und1.de,200,OK
ibb-d.de,200,OK
insidebw.de,200,OK
ipsos.com,403,Forbidden
kmk.org,200,OK
kz-gedenkstaette-neuengamme.de,200,OK
laut.de,200,OK
literaturhandlung-paperback.de,200,OK
luene-blog.de,200,OK
marburger-kamerapreis.de,200,OK
minsk.diplo.de,200,OK
mmz-potsdam.de,200,OK
nachrichten-muenchen.com,200,OK
nachrichtenportal.de,200,OK
newsworld.app,200,OK
nmz.de,200,OK
nn.de,200,OK
oesterreich.gv.at,200,OK
oldenburger-onlinezeitung.de,200,OK
openpr.de,200,OK
paritaet-berlin.de,200,OK
pixgame.de,200,OK
protokoll-inland.de,400,Bad Request
publicnow.com,403,Forbidden
publizistische-leitlinien.srf.ch,200,OK
qualityaustria.com,200,OK
rp-online.de,200,OK
salzburg24.at,200,OK
schulministerium.nrw.de,200,OK
spindash.de,200,OK
steuerkanzlei-kelbel.de,200,OK
stuttgarter-philharmoniker.de,200,OK
theology.de,200,OK
top-news.at,200,OK
tourenfahrer.de,200,OK
tv.orf.at,200,OK
unsere-zeit.de,200,OK
verbaende.com,200,OK
verticus.ag,200,OK
wetterstation-berlin.de,200,OK
wirtschaft-ratgeber.de,200,OK
adac.de,403,Forbidden
afriquechronique.com,200,OK
artikelschreiber.com,200,OK
aufstehen-gegen-rassismus.de,200,OK
bahnblogstelle.com,200,OK
bauindustrie.de,200,OK
baulinks.de,200,OK
bayerische-staatszeitung.de,200,OK
berliner-mieterverein.de,200,OK
bh-international.de,200,OK
bietigheimerzeitung.de,200,OK
blog.cosinex.de,200,OK
bmj.de,400,Bad Request
boell.de,200,OK
brandequity.economictimes.indiatimes.com,200,OK
bremen-city.de,200,OK
bundesgesundheitsministerium.de,200,OK
bundespressekonferenz.de,200,OK
cbsnews.com,200,OK
change.org,200,OK
de.m.wikipedia.org,200,OK
de.stringtranslate.com,200,OK
demokratiewebstatt.at,200,OK
designrush.com,403,Forbidden
deutschenme.com,200,OK
dokfest-muenchen.de,200,OK
dwd.de,200,OK
electrive.net,200,OK
eltern.de,200,OK
ethos.at,200,OK
eulerpool.com,200,OK
euronews.com,200,OK
exxpress.at,200,OK
finanztip.de,200,OK
freizeit-mittelhessen.de,200,OK
fuldainfo.de,200,OK
fundresearch.de,200,OK
german.xinhuanet.com,200,OK
gevestor.de,200,OK
gmuender-tagespost.de,200,OK
green-social-club.de,,
gruenderszene.de,200,OK
hanauer.de,200,OK
hea.de,200,OK
hoffmannursery.com,200,OK
hwk-muenchen.de,200,OK
iab-forum.de,200,OK
idowa.de,200,OK
iffmh.de,200,OK
ihk-nord.de,,
indiatoday.in,200,OK
informedeye.com,200,OK
ingenieur.de,200,OK
integrationsportal.sachsen-anhalt.de,200,OK
interactive.spiegel.de,404,Not Found
interaktiv-muc.de,200,OK
juedische-allgemeine.de,200,OK
jungle.world,200,OK
jura.uni-passau.de,200,OK
kalksandstein.de,200,OK
kgnw.de,200,OK
klamm.de,200,OK
konsumentenfragen.at,200,OK
kulturstaatsministerin.de,,
kurier.de,200,OK
lg-itzehoe.de,200,OK
ludwigsburg24.com,200,OK
magdeburg-klickt.de,200,OK
mannheim24.de,200,OK
markets.traderfox.com,200,OK
mein-geld-medien.de,200,OK
mein-stuttgart.com,200,OK
ministerpraesident.sachsen.de,200,OK
mittelbayerische.de,200,OK
mittlerer-niederrhein.ihk.de,200,OK
muenchner-bildungswerk.de,500,Internal Server Error
mv-wetter.com,200,OK
nationaldaycalendar.com,403,Forbidden
news.microsoft.com,200,OK
news4teachers.de,200,OK
now-news.de,200,OK
npr.org,200,OK
onlinehaendler-news.de,200,OK
oppenhoff.eu,200,OK
panalis.de,200,OK
procontra-online.de,200,OK
radio7.de,200,OK
radiohamburg.de,200,OK
radiokw.de,200,OK
regensburger-nachrichten.de,200,OK
regionalinitiative.de,200,OK
reisereporter.de,200,OK
rubikon.news,200,OK
sat1regional.de,200,OK
sauerlandkurier.de,200,OK
sea-help.eu,200,OK
seenotretter.de,200,OK
sn.at,200,OK
snookerpro.de,200,OK
solarify.eu,200,OK
spd-eulen.de,200,OK
spd-fraktion-niedersachsen.de,403,Forbidden
specialolympics.de,200,OK
spektrum.de,200,OK
squaredtech.co,200,OK
staatsanzeiger.de,200,OK
stepstone.de,200,OK
stiftung-medienpaedagogik-bayern.de,200,OK
swp-berlin.org,200,OK
tabularasamagazin.de,200,OK
tenforums.com,403,Forbidden
thejournal.com,200,OK
thelocal.de,200,OK
thueringer-allgemeine.de,200,OK
uebermedien.de,200,OK
unric.org,200,OK
usinger-anzeiger.de,200,OK
vdk.de,200,OK
vera-lengsfeld.de,200,OK
verbraucherzentrale-energieberatung.de,200,OK
vfs-campus.de,200,OK
vip.de,200,OK
w24.at,200,OK
websiteplanet.com,200,OK
winterhalter.com,200,OK
wirtschaft-tv.com,200,OK
wirtschaft.com,200,OK
wismar.fm,200,OK
zevener-zeitung.de,200,OK
zimmerer-westfalen.de,200,OK
1001hobbies.de,200,OK
365.wiki,200,OK
8-mai-hamburg.de,200,OK
89.0rtl.de,200,OK
agsa.de,200,OK
airliners.de,200,OK
aktion-mensch.de,200,OK
aktionsseitedeutschland.de,,
amp.ngo,200,OK
anwahl.de,200,OK
apollo-news.net,200,OK
arbeitgeber.de,200,OK
arbeitsagentur.de,200,OK
aschaffenburg.de,200,OK
auf1.tv,200,OK
bauhandwerk.de,200,OK
bbs-varel.de,,
bbsb.org,200,OK
behindertenverband.de,200,OK
beispielnachrichtenseite.de,,
beispielseite.de,200,OK
berlinale.de,200,OK
berliner-behindertenzeitung.de,200,OK
beyondsurface.de,200,OK
bhdd.info,200,OK
bibeltv.de,200,OK
bigge-online.de,200,OK
bildungsklick.de,200,OK
bildungsportal-nrw.de,,
bizeps.or.at,200,OK
blog-demokratie.de,200,OK
blog.de,200,OK
bmbf.de,400,Bad Request
bmwopen.de,200,OK
bodyandsoulinternational.com,200,OK
boersen-zeitung.de,200,OK
brandaktuell.at,200,OK
bsvt.org,200,OK
buecher.at,200,OK
business-travel.de,200,OK
cdu-cloppenburg.de,200,OK
cedaw-allianz.de,200,OK
chiemgau24.de,200,OK
christian-lindner.de,200,OK
citizens.al,200,OK
cnn.com,200,OK
cosmopolis.ch,200,OK
cottbus.de,200,OK
dalecom.de,200,OK
dashoefer.de,200,OK
datenbank.nwb.de,200,OK
dbb.berlin,200,OK
deineip.de,200,OK
dekanat-weiden-evangelisch.de,200,OK
der-farang.com,,
dertagdes.de,200,OK
deu.belta.by,200,OK
deutsch.radio.cz,200,OK
deutsch.wikibrief.org,403,Forbidden
deutschlandnewsnow.de,403,Forbidden
dewiki.de,200,OK
digitalbusiness-magazin.de,200,OK
digitalstrategie-deutschland.de,200,OK
dirk-voepel.de,200,OK
dk-online.de,200,OK
dlr.de,200,OK
dokdoc.eu,200,OK
dpa.de,200,OK
duckshop.de,200,OK
dvgw.de,200,OK
earthday.org,200,OK
ecomento.de,200,OK
eimsbuetteler-nachrichten.de,200,OK
elektroauto-news.net,200,OK
elterngeld.de,200,OK
emp.de,200,OK
entnet.org,200,OK
erzbistum-koeln.de,200,OK
esf.bayern.de,200,OK
eta.org.uk,200,OK
eu-augsburg.de,200,OK
euregio.eu,200,OK
euroma-mai.de,,
europa-in-dresden.de,200,OK
europa.eu,200,OK
evangelische-termine.de,200,OK
event.dlr.de,200,OK
example-news-site-a.com,,
example-news-site-b.com,,
example-news-site-c.com,,
example-news-site-d.com,,
example-news-site-e.com,,
example1.com,200,OK
example2.com,403,Forbidden
example3.com,200,OK
example4.com,200,OK
express.co.uk,200,OK
extremnews.com,200,OK
faktencheck.afp.com,403,Forbidden
familienapp.hessen.de,200,OK
familienpakt-bayern.de,200,OK
fdst.de,200,OK
festderfreude.at,200,OK
fides.org,200,OK
finanzwelt.de,200,OK
foxsports.com,200,OK
frankfurtmain.vvn-bda.de,200,OK
gala.de,200,OK
gamesradar.com,200,OK
gedenkstaetten-hamburg.de,200,OK
germania.diplo.de,200,OK
germanwatch.org,200,OK
gnz.de,200,OK
gov.de,400,Bad Request
grantthornton.de,200,OK
gtai.de,200,OK
hamburg.de,200,OK
handball-world.news,200,OK
hanf-initiative.de,200,OK
hanfverband-freiburg.de,200,OK
help.meltwater.com,200,OK
hessen-thueringen.vdk.de,200,OK
hildesheimer-presse.de,200,OK
hss.de,200,OK
ikz-online.de,200,OK
imk-boeckler.de,200,OK
infopoint-europa.de,200,OK
inklusionsfit.de,200,OK
inklusionsnetzwerk.de,200,OK
italia.fes.de,,
jurnalsuissee.net,200,OK
kilian-kollegen.de,200,OK
kinopolis.de,200,OK
klardenker.kpmg.de,200,OK
km-bw.de,200,OK
kn-online.de,200,OK
koelner-wissenschaftsrunde.de,200,OK
kreiszeitung-wesermarsch.de,200,OK
kultusministerium.hessen.de,200,OK
landeswelle.de,,
latscho-koblenz.de,200,OK
lembergerland.de,200,OK
leprogres.fr,200,OK
lindholz.de,200,OK
liquid-sports.de,200,OK
lnbe.berlin,200,OK
lpk-bw.de,200,OK
ludwigsburg.de,200,OK
luebbecke-erleben.de,200,OK
magazin.arcd.de,200,OK
medi-karriere.de,200,OK
medienbeispiel.de,,
medienberichte.de,200,OK
mediendienst-integration.de,200,OK
memmingen.de,200,OK
merkurist.de,200,OK
metropolregionnuernberg.de,200,OK
mi.niedersachsen.de,,
mimikama.org,403,Forbidden
mittelrhein-tageblatt.de,200,OK
moin.de,200,OK
n4g.com,500,Internal Server Error
nachrichtendienst.de,200,OK
nachrichtenseiten.de,,
nag-sachsen.de,200,OK
neue-duesseldorfer-online-zeitung.de,200,OK
neustadt-ticker.de,200,OK
