domain,type,language,in_list_chatgpt,in_list_hbi,in_list_scharkow,in_list_stier,in_list_w3news
ammerseekurier.de,legacy press,NA,FALSE,TRUE,FALSE,FALSE,FALSE
anderweltonline.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
andreas-unterberger.at,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
anonymousnews.org,hyperpartisan news,de,TRUE,FALSE,FALSE,FALSE,FALSE
anonymousnews.ru,hyperpartisan news,de,FALSE,FALSE,FALSE,TRUE,FALSE
ansa.it,legacy press,it,FALSE,FALSE,FALSE,TRUE,FALSE
ansage.org,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
antaios.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
antena3.com,commercial broadcaster,es,FALSE,FALSE,FALSE,TRUE,FALSE
antenne.de,commercial broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
antenne1.de,commercial broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
antennethueringen.de,commercial broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
anti-spiegel.ru,hyperpartisan news,de,TRUE,FALSE,FALSE,FALSE,FALSE
antilobby.wordpress.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
aol.co.uk/news,portal,NA,NA,NA,NA,NA,NA
aol.com,tabloid newspaper,de,TRUE,FALSE,FALSE,FALSE,FALSE
aol.com/article/news,portal,NA,NA,NA,NA,NA,NA
aol.com/news,portal,NA,NA,NA,NA,NA,NA
aol.de/nachrichten,portal,NA,NA,NA,NA,NA,NA
apnews.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
apolut.net,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
app.handelsblatt.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
ara.cat,legacy press,ca,FALSE,FALSE,FALSE,TRUE,FALSE
arcamax.com,digital-born news outlet,en,FALSE,FALSE,FALSE,TRUE,FALSE
ard-text.de,public broadcaster,de,FALSE,FALSE,FALSE,TRUE,FALSE
ard.de,public broadcaster,de,FALSE,FALSE,TRUE,TRUE,FALSE
ardmediathek.de,public broadcaster,de,FALSE,FALSE,FALSE,TRUE,FALSE
ardtext.de,public broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
arte.tv,public broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
atresplayer.com,commercial broadcaster,es,FALSE,FALSE,FALSE,TRUE,FALSE
augsburger-allgemeine.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
avvenire.it,legacy press,it,FALSE,FALSE,FALSE,TRUE,FALSE
az-muenchen.de,tabloid newspaper,de,FALSE,FALSE,TRUE,FALSE,FALSE
az-online.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
azcentral.com,legacy press,en,TRUE,FALSE,FALSE,FALSE,FALSE
azonline.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,TRUE
babenhaeuser-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
bad-sodener-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
baden-tv.com,commercial broadcaster,de,FALSE,FALSE,FALSE,FALSE,FALSE
badische-zeitung.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
badisches-tagblatt.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
baltimoresun.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
bams.de,tabloid newspaper,de,FALSE,FALSE,FALSE,TRUE,FALSE
bayerische-staatszeitung.de,legacy press,de,TRUE,TRUE,FALSE,FALSE,FALSE
bayern3.de,public broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
bayernistfrei.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
bayreuther-tagblatt.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
bbc.co.uk,public broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
bbc.com,public broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
bbglive.de,digital-born news outlet,de,FALSE,FALSE,FALSE,FALSE,FALSE
bbv-net.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,TRUE
bellingcat.com,digital-born news outlet,en,TRUE,FALSE,FALSE,FALSE,FALSE
belltower.news,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
belta.by,public broadcaster,ru,TRUE,FALSE,FALSE,FALSE,FALSE
bento.de,digital-born news outlet,de,FALSE,FALSE,TRUE,TRUE,FALSE
beobachter-online.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
berchtesgadener-anzeiger.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
bergamopost.it,legacy press,it,FALSE,FALSE,FALSE,TRUE,FALSE
bergedorfer-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,TRUE,FALSE
berliner-abendblatt.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
berliner-kurier.de,tabloid newspaper,de,FALSE,TRUE,TRUE,TRUE,TRUE
berliner-lokalnachrichten.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
berliner-rundfunk.de,commercial broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
berliner-woche.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
berliner-zeitung.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
berlinertageszeitung.de,legacy press,de,FALSE,FALSE,FALSE,FALSE,TRUE
bewusst.tv,hyperpartisan news,de,TRUE,FALSE,FALSE,FALSE,FALSE
bfmtv.com,commercial broadcaster,fr,FALSE,FALSE,FALSE,TRUE,FALSE
bgland24.de,digital-born news outlet,de,FALSE,FALSE,FALSE,TRUE,FALSE
bhaskar.com,legacy press,hi,TRUE,FALSE,FALSE,FALSE,FALSE
bietigheimerzeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
bild.de,tabloid newspaper,de,FALSE,TRUE,TRUE,TRUE,FALSE
bkz-online.de,legacy press,de,FALSE,FALSE,TRUE,TRUE,FALSE
bkz.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
blackout-news.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
blaetter.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
blauenarzisse.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
blic.rs,tabloid newspaper,bs,TRUE,FALSE,FALSE,FALSE,FALSE
blick-aktuell.de,legacy press,NA,TRUE,FALSE,FALSE,FALSE,FALSE
blick.ch,tabloid newspaper,de,FALSE,FALSE,FALSE,TRUE,FALSE
blick.de,tabloid newspaper,de,FALSE,FALSE,FALSE,TRUE,FALSE
blikk.hu,tabloid newspaper,hu,TRUE,FALSE,FALSE,FALSE,FALSE
blitzquotidiano.it,digital-born news outlet,it,FALSE,FALSE,FALSE,TRUE,FALSE
bloomberg.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
bnn.de,legacy press,de,FALSE,TRUE,FALSE,TRUE,FALSE
bo.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
bocholt-news.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
boehme-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
boerse-online.de,digital-born news outlet,de,FALSE,FALSE,FALSE,FALSE,TRUE
boersen-zeitung.de,legacy press,en,FALSE,FALSE,FALSE,FALSE,TRUE
boersennews.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
borkenerzeitung.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,TRUE
borkumer-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
boston25news.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
bostonglobe.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
boyens-medien.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
br.de,public broadcaster,de,FALSE,FALSE,TRUE,TRUE,FALSE
br24.de,public broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
brandeins.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
braunschweiger-zeitung.de,legacy press,de,TRUE,TRUE,TRUE,FALSE,TRUE
breaking-news-saarland.de,digital-born news outlet,de,FALSE,FALSE,FALSE,FALSE,FALSE
breaknotizie.com,digital-born news outlet,ja,FALSE,FALSE,FALSE,TRUE,FALSE
breitbart.com,hyperpartisan news,en,FALSE,FALSE,FALSE,TRUE,FALSE
bremeneins.de,public broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
breuerpresse.de,legacy press,ja,FALSE,TRUE,FALSE,FALSE,FALSE
brf.be,public broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
brigitte.de,tabloid newspaper,de,TRUE,FALSE,FALSE,FALSE,FALSE
brv-zeitung.de,legacy press,en,FALSE,TRUE,FALSE,FALSE,TRUE
bsaktuell.de,digital-born news outlet,NA,FALSE,FALSE,FALSE,TRUE,FALSE
buerstaedter-zeitung.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,FALSE
bunshun.jp,legacy press,ja,TRUE,FALSE,FALSE,FALSE,FALSE
businessinsider.com,digital-born news outlet,de,FALSE,FALSE,FALSE,TRUE,FALSE
businessinsider.de,digital-born news outlet,de,FALSE,FALSE,TRUE,TRUE,FALSE
butenunbinnen.de,public broadcaster,de,FALSE,FALSE,TRUE,FALSE,FALSE
butzbacher-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
buzzfeed.com,digital-born news outlet,en,FALSE,FALSE,TRUE,TRUE,FALSE
buzzfeed.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
buzzfeednews.com,digital-born news outlet,pt,FALSE,FALSE,FALSE,TRUE,FALSE
bw24.de,tabloid newspaper,de,TRUE,FALSE,FALSE,FALSE,FALSE
bz-berlin.de,tabloid newspaper,de,FALSE,TRUE,TRUE,TRUE,TRUE
cadenaser.com,commercial broadcaster,es,FALSE,FALSE,FALSE,TRUE,FALSE
caffeinamagazine.it,digital-born news outlet,it,FALSE,FALSE,FALSE,TRUE,FALSE
campact.de,hyperpartisan news,de,FALSE,FALSE,FALSE,TRUE,FALSE
canal-plus.com,commercial broadcaster,NA,FALSE,FALSE,FALSE,TRUE,FALSE
canal.fr,commercial broadcaster,NA,FALSE,FALSE,FALSE,TRUE,FALSE
canarias7.es,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
cancan.ro,tabloid newspaper,ro,TRUE,FALSE,FALSE,FALSE,FALSE
cannstatter-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
capital.fr,legacy press,fr,FALSE,FALSE,FALSE,TRUE,FALSE
casoaislado.com,hyperpartisan news,es,FALSE,FALSE,FALSE,TRUE,FALSE
cataniatoday.it,legacy press,it,FALSE,FALSE,FALSE,TRUE,FALSE
cbc.ca,public broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
cbs.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
cbsloc.al,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
cbslocal.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
cbsn.ws,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
cbsnews.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
ccma.cat,public broadcaster,ca,FALSE,FALSE,FALSE,TRUE,FALSE
cellesche-zeitung.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,FALSE
challenges.fr,legacy press,fr,FALSE,FALSE,FALSE,TRUE,FALSE
channel4.com,public broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
channel7breakingreport.live,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
charter97.org,hyperpartisan news,ru,TRUE,FALSE,FALSE,FALSE,FALSE
chicagotribune.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
chiemgau24.de,tabloid newspaper,de,TRUE,FALSE,FALSE,FALSE,FALSE
cicero.de,legacy press,de,FALSE,FALSE,TRUE,TRUE,TRUE
citynews-koeln.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
cnbc.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
cnews.fr,digital-born news outlet,fr,FALSE,FALSE,FALSE,TRUE,FALSE
cnn.com,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
cnn.it,commercial broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
cnnturk.com,commercial broadcaster,tr,TRUE,FALSE,FALSE,FALSE,FALSE
cnv-medien.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
com-magazin.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
come-on.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
compact-online.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
computerweekly.com,digital-born news outlet,en,TRUE,FALSE,FALSE,FALSE,FALSE
conservativebuzz.com,hyperpartisan news,NA,FALSE,FALSE,FALSE,TRUE,FALSE
conservativedailypost.com,hyperpartisan news,en,FALSE,FALSE,FALSE,TRUE,FALSE
conservativeinstitute.org,hyperpartisan news,en,FALSE,FALSE,FALSE,TRUE,FALSE
conservo.wordpress.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
contra-magazin.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
cope.es,commercial broadcaster,es,FALSE,FALSE,FALSE,TRUE,FALSE
corona-blog.net,hyperpartisan news,de,TRUE,FALSE,FALSE,FALSE,FALSE
correctiv.org,digital-born news outlet,de,TRUE,FALSE,TRUE,FALSE,FALSE
corriere.it,legacy press,it,FALSE,FALSE,FALSE,TRUE,FALSE
corriereadriatico.it,legacy press,it,FALSE,FALSE,FALSE,TRUE,FALSE
courrierdelouest.fr,legacy press,NA,FALSE,FALSE,FALSE,TRUE,FALSE
courrierinternational.com,legacy press,fr,FALSE,FALSE,FALSE,TRUE,FALSE
ctxt.es,digital-born news outlet,ja,FALSE,FALSE,FALSE,TRUE,FALSE
cuatro.com,commercial broadcaster,es,FALSE,FALSE,FALSE,TRUE,FALSE
currenttime.tv,commercial broadcaster,ru,TRUE,FALSE,FALSE,FALSE,FALSE
cz.de,legacy press,de,FALSE,FALSE,FALSE,FALSE,TRUE
da-imnetz.de,legacy press,NA,FALSE,TRUE,FALSE,FALSE,FALSE
dailyconservative.com,hyperpartisan news,en,FALSE,FALSE,FALSE,TRUE,FALSE
dailykos.com,hyperpartisan news,en,FALSE,FALSE,FALSE,TRUE,FALSE
dailymail.co.uk,tabloid newspaper,en,FALSE,FALSE,FALSE,TRUE,FALSE
dailyrecord.co.uk,tabloid newspaper,en,FALSE,FALSE,FALSE,TRUE,FALSE
dailystar.co.uk,tabloid newspaper,en,FALSE,FALSE,FALSE,TRUE,FALSE
dailywire.com,hyperpartisan news,NA,FALSE,FALSE,FALSE,TRUE,FALSE
dallasnews.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
danisch.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
das-parlament.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
daserste.de,public broadcaster,de,FALSE,FALSE,FALSE,TRUE,FALSE
daserste.ndr.de,public broadcaster,ja,FALSE,FALSE,FALSE,TRUE,FALSE
dattelner-morgenpost.de,legacy press,de,FALSE,FALSE,TRUE,FALSE,FALSE
dawn.com,legacy press,en,TRUE,FALSE,FALSE,FALSE,FALSE
daytondailynews.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
ddbnews.wordpress.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
de.euronews.com,commercial broadcaster,de,FALSE,FALSE,FALSE,FALSE,FALSE
de.europenews.dk,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
de.gatestoneinstitute.org,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
de.nachrichten.yahoo.com,portal,NA,NA,NA,NA,NA,NA
de.news-front.info,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
de.rt.com,hyperpartisan news,NA,FALSE,FALSE,FALSE,TRUE,FALSE
de.sott.net,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
de.sputniknews.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
de.yahoo.com,portal,NA,FALSE,FALSE,FALSE,FALSE,FALSE
de.yahoo.com/nachrichten,portal,NA,NA,NA,NA,NA,NA
de24live.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
deister-echo.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
dekoder.org,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
delmagyar.hu,legacy press,hu,TRUE,FALSE,FALSE,FALSE,FALSE
democratandchronicle.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
denverpost.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
der-kleine-akif.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
der-postillon.com,digital-born news outlet,de,FALSE,FALSE,FALSE,TRUE,TRUE
derbytelegraph.co.uk,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
derpatriot.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,FALSE
derstandard.at,legacy press,de,FALSE,FALSE,FALSE,TRUE,FALSE
derstandard.de,legacy press,de,TRUE,FALSE,FALSE,FALSE,FALSE
derwaechter.net,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
derwesten.de,digital-born news outlet,de,FALSE,TRUE,TRUE,TRUE,TRUE
detektor.fm,commercial broadcaster,de,TRUE,FALSE,FALSE,FALSE,FALSE
deutsch.rt.com,hyperpartisan news,NA,FALSE,FALSE,FALSE,TRUE,FALSE
deutsche-mittelstands-nachrichten.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
deutsche-stimme.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
deutsche-wirtschafts-nachrichten.de,hyperpartisan news,de,FALSE,FALSE,FALSE,TRUE,FALSE
deutschland-kurier.org,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
deutschlandfunk.de,public broadcaster,de,FALSE,FALSE,TRUE,TRUE,FALSE
deutschlandfunkkultur.de,public broadcaster,de,FALSE,FALSE,TRUE,TRUE,FALSE
deutschlandfunknova.de,public broadcaster,de,TRUE,FALSE,TRUE,FALSE,FALSE
deutschlandradio.de,public broadcaster,de,FALSE,FALSE,TRUE,TRUE,FALSE
dewezet.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
diaridegirona.cat,legacy press,ca,FALSE,FALSE,FALSE,TRUE,FALSE
diaridetarragona.com,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diariocordoba.com,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diariodeibiza.es,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diariodeleon.es,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diariodemallorca.es,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diariodenavarra.es,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diariodesevilla.es,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diarioinformacion.com,legacy press,NA,FALSE,FALSE,FALSE,TRUE,FALSE
diariojaen.es,legacy press,NA,FALSE,FALSE,FALSE,TRUE,FALSE
diariolibre.com,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diariosur.es,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
diariovasco.com,legacy press,es,FALSE,FALSE,FALSE,TRUE,FALSE
die-glocke.de,legacy press,de,FALSE,TRUE,TRUE,FALSE,TRUE
die-tagespost.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
dieharke.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
diepresse.com,legacy press,de,FALSE,FALSE,FALSE,TRUE,FALSE
dieunbestechlichen.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
digi24.ro,commercial broadcaster,ro,TRUE,FALSE,FALSE,FALSE,FALSE
digitalcourage.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
digitalsevilla.com,hyperpartisan news,es,FALSE,FALSE,FALSE,TRUE,FALSE
dnn.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
donau-ries-aktuell.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
donaukurier.de,legacy press,de,FALSE,TRUE,TRUE,TRUE,TRUE
dorstenerzeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
dortmund24.de,digital-born news outlet,NA,FALSE,FALSE,FALSE,TRUE,FALSE
dpa-news.de,digital-born news outlet,en,FALSE,FALSE,FALSE,TRUE,FALSE
drudgereport.com,hyperpartisan news,en,FALSE,FALSE,FALSE,TRUE,FALSE
dtj-online.de,digital-born news outlet,de,TRUE,FALSE,FALSE,FALSE,FALSE
dushanwegner.com,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
dw.com,public broadcaster,en,FALSE,FALSE,FALSE,TRUE,FALSE
dzen.ru,digital-born news outlet,ja,TRUE,FALSE,FALSE,FALSE,FALSE
dzonline.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
e-zeitung.ruhrnachrichten.de,legacy press,de,FALSE,FALSE,FALSE,FALSE,FALSE
eberbacher-zeitung.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,FALSE
echo-online.de,legacy press,de,TRUE,TRUE,TRUE,FALSE,TRUE
echo24.de,digital-born news outlet,de,FALSE,FALSE,TRUE,TRUE,FALSE
ecodibergamo.it,legacy press,it,FALSE,FALSE,FALSE,TRUE,FALSE
economiadigital.es,digital-born news outlet,es,FALSE,FALSE,FALSE,TRUE,FALSE
economist.com,legacy press,en,FALSE,FALSE,FALSE,TRUE,FALSE
ef-magazin.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
eike-klima-energie.eu,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
einbecker-morgenpost.de,legacy press,de,FALSE,TRUE,FALSE,FALSE,TRUE
einprozent.de,hyperpartisan news,de,FALSE,FALSE,FALSE,FALSE,FALSE
