"domain","visits_global","country_rank","industry_rank","original_rank_news_media","rank_similarweb","traffic_share_germany","country","category_similarweb","visits_germany","note"
"wp.pl",238.3,4,13,52,61,0.0274,"Poland","news_and_media",6.52942,NA
"cnn.com",539,39,12,53,62,0.0118,"USA","news_and_media",6.3602,NA
"dw.com",27.65,375,305,54,63,0.2279,"Germany","news_and_media",6.301435,NA
"infranken.de",6.481,404,1236,55,64,0.9538,"Germany","news_and_media",6.1815778,NA
"kreiszeitung.de",6.166,408,1271,56,65,0.9847,"Germany","news_and_media",6.0716602,NA
"mz.de",6.106,376,1194,57,66,0.9872,"Germany","news_and_media",6.0278432,NA
"onvista.de",6.946,342,114,NA,67,0.8527,"Germany","investing",5.9228542,NA
"onet.pl",272.7,5,16,58,68,0.0215,"Poland","news_and_media",5.86305,NA
"pnp.de",5.626,385,1220,59,69,0.979,"Germany","news_and_media",5.507854,NA
"theguardian.com",307,21,20,60,70,0.0179,"United Kingdom","news_and_media",5.4953,NA
"rbb24.de",5.68,474,1413,61,71,0.964,"Germany","news_and_media",5.47552,NA
"zdfheute.de",6.519,467,378,NA,72,0.8365,"Germany","tv_movies_streaming",5.4531435,NA
"saechsische.de",5.496,432,1347,62,73,0.9808,"Germany","news_and_media",5.3904768,NA
"stuttgarter-nachrichten.de",5.575,426,1292,63,74,0.9564,"Germany","news_and_media",5.33193,NA
"wallstreet-online.de",5.907,476,170,NA,75,0.8943,"Germany","investing",5.2826301,NA
"abendzeitung-muenchen.de",5.461,448,1355,64,76,0.9648,"Germany","news_and_media",5.2687728,NA
"wiwo.de",5.681,492,179,NA,77,0.92,"Germany","finance",5.22652,NA
"nzz.ch",11.36,70,791,65,78,0.4584,"Switzerland","news_and_media",5.207424,NA
"lvz.de",5.24,496,1514,66,79,0.9889,"Germany","news_and_media",5.181836,NA
"wp.de",5.143,498,1513,68,80,0.9832,"Germany","news_and_media",5.0565976,NA
"nytimes.com",665,17,5,67,81,0.0076,"USA","news_and_media",5.054,NA
"edition.cnn.com",95.21,95.21,400,69,82,0.0517,"Germany","news_and_media",4.922357,NA
"rnd.de",5.45,504,1427,70,83,0.9,"Germany","news_and_media",4.905,NA
"stuttgarter-zeitung.de",5.195,462,1360,71,84,0.9437,"Germany","news_and_media",4.9025215,NA
"nius.de",5.411,634,1682,72,85,0.9044,"Germany","news_and_media",4.8937084,NA
"index.hr",53.23,4,149,73,86,0.0881,"Croatia","news_and_media",4.689563,NA
"echo24.de",4.85,581,1654,74,87,0.9651,"Germany","news_and_media",4.680735,NA
"ruhrnachrichten.de",4.737,525,1561,75,88,0.9806,"Germany","news_and_media",4.6451022,NA
"otz.de",4.666,528,1591,76,89,0.9945,"Germany","news_and_media",4.640337,NA
"shz.de",4.73,481,1453,77,90,0.9738,"Germany","news_and_media",4.606074,NA
"volksstimme.de",4.604,506,1544,78,91,0.991,"Germany","news_and_media",4.562564,NA
"berliner-kurier.de",4.672,560,1608,79,92,0.9612,"Germany","news_and_media",4.4907264,NA
"suedkurier.de",4.809,571,1568,80,93,0.9217,"Germany","news_and_media",4.4324553,NA
"come-on.de",4.422,540,1627,81,94,0.9901,"Germany","news_and_media",4.3782222,NA
"tichyseinblick.de",4.791,625,1692,82,95,0.9125,"Germany","news_and_media",4.3717875,NA
"ostsee-zeitung.de",4.418,535,1609,83,96,0.9891,"Germany","news_and_media",4.3698438,NA
"badische-zeitung.de",4.486,543,1551,84,97,0.9486,"Germany","news_and_media",4.2554196,NA
"thueringer-allgemeine.de",3.993,570,1679,85,98,0.9926,"Germany","news_and_media",3.9634518,NA
"stimme.de",4.075,683,1858,86,99,0.9657,"Germany","news_and_media",3.9352275,NA
"ard.de",4.298,709,682,NA,100,0.9083,"Germany","video_games_consoles",3.9038734,NA
"braunschweiger-zeitung.de",3.962,664,1838,87,101,0.9806,"Germany","news_and_media",3.8851372,NA
"freiepresse.de",3.925,635,1790,88,102,0.9797,"Germany","news_and_media",3.8453225,NA
"mainpost.de",3.793,610,1735,89,103,0.9828,"Germany","news_and_media",3.7277604,NA
"schwarzwaelder-bote.de",3.768,578,1675,90,104,0.9812,"Germany","news_and_media",3.6971616,NA
"stadt-bremerhaven.de",3.867,758,1955,91,105,0.939,"Germany","news_and_media",3.631113,NA
"bnn.de",3.699,623,1757,92,106,0.9792,"Germany","news_and_media",3.6220608,NA
"apotheken-umschau.de",3.987,749,1856,93,107,0.9004,"Germany","news_and_media",3.5898948,NA
"haz.de",3.642,648,1812,94,108,0.9835,"Germany","news_and_media",3.581907,NA
"interia.pl",151.9,7,25,95,109,0.0235,"Poland","news_and_media",3.56965,NA
"mittelbayerische.de",3.568,662,1848,96,110,0.9926,"Germany","news_and_media",3.5415968,NA
"moz.de",3.612,725,1948,97,111,0.9712,"Germany","news_and_media",3.5079744,NA
"weser-kurier.de",3.531,653,1830,98,112,0.991,"Germany","news_and_media",3.499221,NA
"butenunbinnen.de",3.537,800,2102,99,113,0.9866,"Germany","news_and_media",3.4896042,NA
"rheinpfalz.de",3.542,667,1847,100,114,0.9812,"Germany","news_and_media",3.4754104,NA
